id,code,name,category_lvl1,category_lvl2,nature_analytique,entity,visibility_scope,profile_description,billability_default,project_required,expected_deliverable
activity_gen_adm_01,GEN-ADM-01,Reporting,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,non,Rapport ou mise à jour transmise
activity_gen_adm_02,GEN-ADM-02,Outils de suivi,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,recommande,Outil mis à jour / référence de tâche
activity_gen_adm_03,GEN-ADM-03,Documentation et archivage,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,non,Document classé ou archivé
activity_gen_adm_04,GEN-ADM-04,Correspondances,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,recommande,Courriel ou courrier traité
activity_gen_adm_05,GEN-ADM-05,Réunions internes générales,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,non,Compte rendu ou actions enregistrées
activity_gen_adm_06,GEN-ADM-06,Procédures et modèles,Activités communes,Administration,amelioration_interne,Toutes entités,all,Tous les employés,non_facturable,recommande,Procédure ou modèle produit
activity_gen_adm_07,GEN-ADM-07,Saisie et contrôle de données,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,recommande,Base ou fichier mis à jour
activity_gen_adm_08,GEN-ADM-08,Coordination inter-départements,Activités communes,Administration,coordination_interne,Toutes entités,all,Tous les employés,non_facturable,non,Actions ou compte rendu
activity_gen_adm_09,GEN-ADM-09,Support administratif ponctuel,Activités communes,Administration,administration,Toutes entités,all,"Tous les employés (usage exceptionnel, commentaire détaillé requis)",non_facturable,non,Description obligatoire
activity_gen_mgt_01,GEN-MGT-01,Planification et priorisation,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,non_facturable,recommande,Plan de travail ou priorités
activity_gen_mgt_02,GEN-MGT-02,Supervision et encadrement,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,non_facturable,recommande,Points de suivi / actions
activity_gen_mgt_03,GEN-MGT-03,Revue et validation,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,selon_projet,oui,Livrable revu ou validé
activity_gen_mgt_04,GEN-MGT-04,Suivi des KPI et de la performance,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,non_facturable,recommande,Tableau de bord / plan d'action
activity_gen_mgt_05,GEN-MGT-05,Gestion des risques et blocages,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,selon_projet,oui,Registre risques / décision
activity_gen_mgt_06,GEN-MGT-06,CODIR et comités de gouvernance,Activités communes,Management et gouvernance,gouvernance,Toutes entités,managers,Managers et responsables,non_facturable,non,"Support, CR ou décisions"
activity_bd_01,BD-01,Identification de prospects,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,recommande,Liste de prospects
activity_bd_02,BD-02,Qualification d'opportunité,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Fiche opportunité
activity_bd_03,BD-03,Prospection et prise de contact,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Activité CRM
activity_bd_04,BD-04,Réunion de découverte,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Compte rendu
activity_bd_05,BD-05,Préparation d'offre ou proposition,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Offre ou proposition
activity_bd_06,BD-06,Négociation commerciale,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Version négociée / CR
activity_bd_07,BD-07,Contractualisation commerciale,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Contrat ou mandat
activity_bd_08,BD-08,Mise à jour du pipeline et CRM,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,CRM à jour
activity_bd_09,BD-09,Gestion de compte et fidélisation,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,selon_contrat,oui,Compte rendu / plan de compte
activity_bd_10,BD-10,Partenariats stratégiques,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,non,Protocole / plan partenariat
activity_bd_11,BD-11,Appels d'offres et RFP,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Dossier de soumission
activity_bd_12,BD-12,Réseautage et événements commerciaux,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,recommande,Contacts / compte rendu
activity_gen_lrn_01,GEN-LRN-01,Formation reçue,Activités communes,Formation et initiatives internes,formation,Toutes entités,all,Tous les employés,non_facturable,non,Attestation ou support
activity_gen_lrn_02,GEN-LRN-02,Autoformation et veille,Activités communes,Formation et initiatives internes,formation,Toutes entités,all,Tous les employés,non_facturable,recommande,Note de veille / ressource
activity_gen_lrn_03,GEN-LRN-03,Formation dispensée et mentorat,Activités communes,Formation et initiatives internes,formation,Toutes entités,all,Tous les employés,non_facturable,recommande,Support ou session
activity_gen_int_01,GEN-INT-01,Comité ou initiative interne,Activités communes,Formation et initiatives internes,interne_productif,Toutes entités,all,Tous les employés,non_facturable,recommande,Compte rendu / actions
activity_gen_int_02,GEN-INT-02,Événement interne et cohésion,Activités communes,Formation et initiatives internes,vie_interne,Toutes entités,all,Tous les employés,non_facturable,non,Événement réalisé
activity_gen_int_03,GEN-INT-03,Innovation et amélioration continue,Activités communes,Formation et initiatives internes,amelioration_interne,Toutes entités,all,Tous les employés,non_facturable,recommande,"Idée, POC ou processus"
activity_gen_int_04,GEN-INT-04,"RSE, ESG et impact",Activités communes,Formation et initiatives internes,interne_productif,Toutes entités,all,Tous les employés,non_facturable,recommande,Rapport ou initiative
activity_bpr_01,BPR-01,Briefing du Président,Bureau du Président,Pilotage stratégique et exécutif,gouvernance,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Briefing ou note
activity_bpr_02,BPR-02,Coordination des priorités présidentielles,Bureau du Président,Pilotage stratégique et exécutif,gouvernance,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Tableau de suivi
activity_bpr_03,BPR-03,Préparation de réunions stratégiques,Bureau du Président,Pilotage stratégique et exécutif,gouvernance,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Dossier de réunion
activity_bpr_04,BPR-04,Suivi des décisions et actions,Bureau du Président,Pilotage stratégique et exécutif,gouvernance,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Registre de décisions
activity_bpr_05,BPR-05,Analyse stratégique,Bureau du Président,Pilotage stratégique et exécutif,strategie,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Note d'analyse
activity_bpr_06,BPR-06,Projet transversal groupe,Bureau du Président,Pilotage stratégique et exécutif,projet_interne,Infinity Africa Group,department,Bureau du Président,selon_projet,oui,Plan projet / livrable
activity_bpr_07,BPR-07,Relations institutionnelles et partenaires,Bureau du Président,Pilotage stratégique et exécutif,relations_externes,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Brief / CR
activity_bpr_08,BPR-08,"Gouvernance, Board et CODIR",Bureau du Président,Pilotage stratégique et exécutif,gouvernance,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,"Support, PV ou résolutions"
activity_bpr_09,BPR-09,Correspondance exécutive,Bureau du Président,Pilotage stratégique et exécutif,gouvernance,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Correspondance finalisée
activity_bpr_10,BPR-10,Veille et note de synthèse,Bureau du Président,Pilotage stratégique et exécutif,strategie,Infinity Africa Group,department,Bureau du Président,non_facturable,recommande,Note de veille
activity_bpr_11,BPR-11,Agenda et logistique exécutive,Bureau du Président,Pilotage stratégique et exécutif,administration_executive,Infinity Africa Group,department,Bureau du Président,non_facturable,non,Agenda ou itinéraire
activity_bpr_12,BPR-12,Reporting consolidé groupe,Bureau du Président,Pilotage stratégique et exécutif,gouvernance,Infinity Africa Group,department,Bureau du Président,non_facturable,oui,Rapport consolidé
activity_fin_bud_01,FIN-BUD-01,Budget annuel,Finance et contrôle de gestion,Budget et prévisions,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",non_facturable,oui,Budget
activity_fin_bud_02,FIN-BUD-02,Forecast et reforecast,Finance et contrôle de gestion,Budget et prévisions,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",non_facturable,oui,Prévision
activity_fin_mgt_01,FIN-MGT-01,Reporting de gestion,Finance et contrôle de gestion,Contrôle de gestion,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",non_facturable,oui,Reporting
activity_fin_mgt_02,FIN-MGT-02,Analyse des écarts et KPI,Finance et contrôle de gestion,Contrôle de gestion,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",non_facturable,oui,Analyse d'écarts
activity_fin_mgt_03,FIN-MGT-03,Rentabilité par entité ou activité,Finance et contrôle de gestion,Contrôle de gestion,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",non_facturable,oui,Analyse de rentabilité
activity_fin_prj_01,FIN-PRJ-01,Pilotage financier de projet ou mandat,Finance et contrôle de gestion,Pilotage financier,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",selon_projet,oui,Fiche financière projet
activity_fin_prj_02,FIN-PRJ-02,Analyse des marges et honoraires,Finance et contrôle de gestion,Pilotage financier,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",selon_projet,oui,Analyse de marge
activity_fin_mod_01,FIN-MOD-01,Modélisation et scénarios,Finance et contrôle de gestion,Analyse,finance_interne,Infinity Africa Group,department,"Finance Groupe, Contrôle de gestion, Analyste financier groupe",non_facturable,oui,Modèle
